# CORPUS CÂU MIX — sinh bằng scripts/voice/gen-mix.py (đừng sửa tay: sửa CLAUSES trong script).
# Cột: ids(phẩy, đúng thứ tự) | text
recirc,readl	chuyển gió ngoài rồi bật đèn đọc
recirc,pm25	chuyển gió ngoài rồi bật lọc bụi
recirc,defrost	lấy gió ngoài sau đó tắt sấy kính
recirc,defrost_rear	chuyển gió ngoài bật sấy kính sau
recirc,trunk	chuyển gió ngoài rồi đóng cốp
recirc,sunroof	lấy gió trong mở nóc xe
recirc,cam	chuyển gió ngoài bật camera 360
recirc,temp	lấy gió ngoài đặt nhiệt độ 24 độ
recirc,fan	chuyển gió ngoài sau đó giảm gió
recirc,headl	chuyển gió ngoài, bật đèn pha
recirc,drl	chuyển gió ngoài xong bật đèn ban ngày
recirc,win_half_lf	lấy gió trong, mở nửa kính lái
readl,pm25	bật đèn trần bật lọc bụi
readl,defrost	bật đèn đọc xong bật sấy kính trước
readl,defrost_rear	bật đèn đọc rồi bật sấy kính sau
readl,trunk	bật đèn đọc mở cốp
readl,sunroof	tắt đèn đọc và mở cửa sổ trời
readl,cam	bật đèn trần sau đó bật camera 360
readl,temp	bật đèn trần và chỉnh nhiệt độ 22 độ
readl,fan	bật đèn trần sau đó giảm gió
readl,headl	bật đèn đọc xong bật đèn pha
readl,drl	tắt đèn đọc xong bật đèn ban ngày
readl,win_half_lf	bật đèn trần sau đó mở nửa kính lái
pm25,defrost	bật lọc không khí, bật sấy kính
pm25,defrost_rear	bật lọc bụi sau đó bật sấy kính sau
pm25,trunk	tắt lọc bụi, mở cốp
pm25,sunroof	bật lọc bụi mở cửa sổ trời
pm25,cam	bật lọc bụi, mở camera
pm25,temp	bật lọc không khí, đặt nhiệt độ 24 độ
pm25,fan	bật lọc bụi xong giảm gió
pm25,headl	bật lọc không khí sau đó tắt đèn pha
pm25,drl	bật lọc bụi bật đèn ban ngày
pm25,win_half_lf	bật lọc bụi mở nửa kính lái
defrost,defrost_rear	bật sấy kính, bật sấy kính sau
defrost,trunk	bật sấy kính rồi mở cốp
defrost,sunroof	tắt sấy kính, mở nóc xe
defrost,cam	bật sấy kính trước xong bật camera 360
defrost,temp	tắt sấy kính, chỉnh nhiệt độ 22 độ
defrost,fan	bật sấy kính trước, giảm gió
defrost,headl	bật sấy kính, tắt đèn pha
defrost,drl	bật sấy kính bật đèn ban ngày
defrost,win_half_lf	tắt sấy kính rồi mở nửa kính lái
defrost_rear,trunk	bật sấy kính sau đóng cốp
defrost_rear,sunroof	bật sấy kính sau đóng cửa sổ trời
defrost_rear,cam	bật sấy kính sau sau đó mở camera
defrost_rear,temp	bật sấy kính sau xong đặt nhiệt độ 24 độ
defrost_rear,fan	bật sấy kính sau và tăng gió
defrost_rear,headl	bật sấy kính sau tắt đèn pha
defrost_rear,drl	bật sấy kính sau rồi bật đèn ban ngày
defrost_rear,win_half_lf	bật sấy kính sau mở nửa kính lái
trunk,sunroof	mở cốp sau, đóng cửa sổ trời
trunk,cam	đóng cốp rồi mở camera
trunk,temp	mở cốp và chỉnh nhiệt độ 22 độ
trunk,fan	mở cốp giảm gió
trunk,headl	đóng cốp rồi tắt đèn pha
trunk,drl	mở cốp sau rồi bật đèn ban ngày
trunk,win_half_lf	đóng cốp, mở nửa kính lái
sunroof,cam	mở cửa sổ trời sau đó bật camera 360
sunroof,temp	mở cửa sổ trời đặt nhiệt độ 24 độ
sunroof,fan	đóng cửa sổ trời giảm gió
sunroof,headl	mở cửa sổ trời sau đó tắt đèn pha
sunroof,drl	mở cửa sổ trời sau đó bật đèn ban ngày
sunroof,win_half_lf	mở nóc xe rồi mở nửa kính lái
cam,temp	bật camera 360 xong chỉnh nhiệt độ 22 độ
cam,fan	mở camera và tăng gió
cam,headl	bật camera 360 rồi bật đèn pha
cam,drl	bật camera 360 bật đèn ban ngày
cam,win_half_lf	bật camera 360 mở nửa kính lái
temp,fan	đặt nhiệt độ 24 độ và tăng gió
temp,headl	đặt nhiệt độ 24 độ tắt đèn pha
temp,drl	chỉnh nhiệt độ 22 độ và bật đèn ban ngày
temp,win_half_lf	đặt nhiệt độ 24 độ, mở nửa kính lái
fan,headl	tăng gió bật đèn pha
fan,drl	giảm gió bật đèn ban ngày
fan,win_half_lf	tăng gió xong mở nửa kính lái
headl,drl	tắt đèn pha và bật đèn ban ngày
headl,win_half_lf	tắt đèn pha và mở nửa kính lái
drl,win_half_lf	bật đèn ban ngày và mở nửa kính lái
win_rf,win_lf,drl	hạ kiếng phải, mở kính bên lái rồi bật đèn ban ngày
readl,temp,win_rr	bật đèn trần, chỉnh nhiệt độ 22 độ sau đó mở kính sau phải
sunroof,headl,defrost	mở nóc xe và bật đèn pha bật sấy kính
windows_all,sunroof,trunk	đóng hết kính mở cửa sổ trời xong mở cốp
pm25,cam,ac_auto	bật lọc bụi sau đó bật camera 360, bật máy lạnh
defrost,readl,win_half_lf	bật sấy kính tắt đèn đọc và mở nửa kính lái
temp,win_lf,pm25	chỉnh nhiệt độ 22 độ và hạ kính trước trái bật lọc không khí
win_rf,defrost,recirc	hạ kính phụ và bật sấy kính rồi lấy gió ngoài
win_lr,fan,pm25	mở kính sau trái sau đó tăng gió bật lọc không khí
win_lr,pm25,win_half_lf	mở kính sau trái rồi tắt lọc bụi mở nửa kính lái
defrost,win_half_lf,readl	bật sấy kính xong mở nửa kính lái sau đó bật đèn trần
sunroof,defrost_rear,fan	mở cửa sổ trời bật sấy kính sau sau đó tăng gió
headl,cam,win_half_lf	bật đèn pha bật camera 360 mở nửa kính lái
win_rf,windows_all,trunk	mở kính trước phải, mở tất cả kính đóng cốp
win_lf,drl,readl	hạ kiếng trái rồi bật đèn ban ngày sau đó bật đèn đọc
win_lr,headl,win_half_lf	mở kính sau trái sau đó tắt đèn pha mở nửa kính lái
pm25,readl,recirc	bật lọc bụi rồi bật đèn trần rồi chuyển gió ngoài
sunroof,win_lr,fan	mở nóc xe, mở kính sau trái xong tăng gió
recirc,win_lr,windows_all	lấy gió trong xong mở kính sau trái xong hạ hết kính
defrost,windows_all,win_lf	tắt sấy kính và đóng hết kính xong hạ kiếng trái
win_rr,recirc,fan	mở kính sau phải rồi chuyển gió ngoài rồi giảm gió
temp,win_rr,recirc	chỉnh nhiệt độ 22 độ mở kính sau phải và lấy gió trong
temp,win_lr,headl	chỉnh nhiệt độ 22 độ mở kính sau trái tắt đèn pha
win_lr,win_half_lf,windows_all	mở kính sau trái, mở nửa kính lái sau đó đóng hết kính
headl,pm25,win_rr	tắt đèn pha rồi bật lọc bụi rồi mở kính sau phải
win_lf,ac_auto,win_half_lf	hạ kiếng trái và bật máy lạnh xong mở nửa kính lái
windows_all,cam,trunk	mở tất cả kính sau đó mở camera và mở cốp
win_lf,defrost_rear,drl	hạ kiếng trái xong bật sấy kính sau bật đèn ban ngày
defrost,pm25,trunk	bật sấy kính sau đó tắt lọc bụi, đóng cốp
win_lr,trunk,cam	mở kính sau trái mở cốp mở camera
defrost,windows_all,readl	tắt sấy kính và mở tất cả kính bật đèn trần
trunk,cam,win_lf	mở cốp sau, mở camera mở kính bên lái
win_lr,win_rf,cam	mở kính sau trái xong hạ kiếng phải sau đó bật camera 360
defrost,fan,win_rf	bật sấy kính trước rồi tăng gió rồi mở kính trước phải
defrost_rear,defrost,drl	bật sấy kính sau rồi bật sấy kính trước xong bật đèn ban ngày
readl,defrost,fan	bật đèn trần bật sấy kính trước giảm gió
ac_auto,win_lr,recirc	tắt máy nạnh mở kính sau trái rồi chuyển gió ngoài
defrost_rear,temp,cam	bật sấy kính sau đặt nhiệt độ 24 độ bật camera 360
defrost_rear,drl,win_lr	bật sấy kính sau và bật đèn ban ngày sau đó mở kính sau trái
win_half_lf,recirc,win_lf	mở nửa kính lái xong lấy gió trong, hạ kiếng trái
recirc,sunroof,pm25	lấy gió trong và mở cửa sổ trời, tắt lọc bụi
trunk,windows_all,headl	mở cốp sau hạ hết kính và bật đèn pha
readl,sunroof,drl	bật đèn trần và đóng cửa sổ trời sau đó bật đèn ban ngày
win_lf,windows_all,win_rf	hạ kiếng trái, hạ hết kính rồi hạ kính phụ
win_lf,win_lr,sunroof	mở kính bên lái mở kính sau trái sau đó đóng cửa sổ trời
win_rr,readl,windows_all	mở kính sau phải bật đèn trần sau đó hạ hết kính
temp,win_lr,win_rf	đặt nhiệt độ 24 độ, mở kính sau trái mở kính trước phải
defrost,windows_all,pm25	bật sấy kính trước xong hạ hết kính sau đó tắt lọc bụi
win_rr,win_half_lf,win_lr	mở kính sau phải và mở nửa kính lái mở kính sau trái
win_lf,win_half_lf,defrost	hạ kiếng trái xong mở nửa kính lái sau đó tắt sấy kính
readl,fan,headl	bật đèn đọc rồi tăng gió xong bật đèn pha
defrost,win_rf,win_lf	bật sấy kính hạ kính phụ và hạ kiếng trái
readl,cam,trunk	bật đèn đọc xong mở camera và mở cốp
cam,trunk,sunroof	bật camera 360 xong mở cốp sau đó đóng cửa sổ trời
headl,win_lr,recirc	tắt đèn pha sau đó mở kính sau trái sau đó lấy gió trong
recirc,readl,temp	lấy gió ngoài tắt đèn đọc, chỉnh nhiệt độ 22 độ
fan,ac_auto,readl	giảm gió bật máy lạnh, bật đèn trần
windows_all,sunroof,win_rf	đóng hết kính mở cửa sổ trời rồi hạ kiếng phải
win_rf,win_half_lf,ac_auto	hạ kính phụ xong mở nửa kính lái bật điều hoà
win_lr,ac_auto,defrost_rear	mở kính sau trái tắt điều hoà và bật sấy kính sau
sunroof,trunk,defrost_rear	đóng cửa sổ trời mở cốp bật sấy kính sau
pm25,win_lr,trunk	tắt lọc bụi sau đó mở kính sau trái mở cốp sau
sunroof,trunk,defrost	đóng cửa sổ trời xong mở cốp rồi bật sấy kính
recirc,trunk,temp	lấy gió ngoài xong đóng cốp rồi chỉnh nhiệt độ 22 độ
win_lf,cam,readl	hạ kiếng trái bật camera 360 rồi tắt đèn đọc
win_lr,win_rf,pm25	mở kính sau trái, hạ kiếng phải và bật lọc bụi
trunk,pm25,defrost_rear	mở cốp sau xong bật lọc bụi xong bật sấy kính sau
defrost_rear,pm25,defrost	bật sấy kính sau sau đó bật lọc không khí xong bật sấy kính trước
win_lr,win_lf,readl	mở kính sau trái rồi hạ kiếng trái sau đó bật đèn trần
sunroof,pm25,cam	đóng cửa sổ trời bật lọc bụi mở camera
defrost,windows_all,readl	tắt sấy kính và mở tất cả kính sau đó tắt đèn đọc
win_lr,headl,recirc	mở kính sau trái rồi bật đèn pha lấy gió ngoài
win_rf,fan,defrost_rear	mở kính trước phải giảm gió và bật sấy kính sau
win_lr,recirc,win_rr	mở kính sau trái lấy gió trong mở kính sau phải
windows_all,cam,temp	hạ hết kính sau đó bật camera 360 sau đó đặt nhiệt độ 24 độ
defrost,win_half_lf,pm25	bật sấy kính trước và mở nửa kính lái xong tắt lọc bụi
pm25,recirc,temp	bật lọc bụi lấy gió ngoài đặt nhiệt độ 24 độ
defrost,recirc,defrost_rear	bật sấy kính lấy gió trong, bật sấy kính sau
headl,readl,win_rr	tắt đèn pha bật đèn đọc rồi mở kính sau phải
readl,temp,trunk	bật đèn đọc chỉnh nhiệt độ 22 độ mở cốp
recirc,win_half_lf,win_lr	lấy gió trong, mở nửa kính lái và mở kính sau trái
win_lf,win_rr,trunk	mở kính trước trái và mở kính sau phải đóng cốp
win_rf,recirc,pm25	mở kính trước phải xong chuyển gió ngoài bật lọc không khí
win_lf,defrost_rear,cam	hạ kính trước trái bật sấy kính sau mở camera
win_rf,fan,drl	mở kính trước phải sau đó giảm gió rồi bật đèn ban ngày
drl,windows_all,win_lr	bật đèn ban ngày rồi mở tất cả kính và mở kính sau trái
defrost,cam,win_rf	tắt sấy kính rồi mở camera hạ kính phụ
trunk,recirc,sunroof	mở cốp sau lấy gió trong rồi mở cửa sổ trời
ac_auto,cam,win_rr	tắt máy lạnh rồi mở camera sau đó mở kính sau phải
ac_auto,windows_all,win_lf	tắt máy lạnh xong hạ hết kính sau đó mở kính trước trái
sunroof,win_lr,trunk	mở nóc xe và mở kính sau trái và mở cốp
ac_auto,headl,win_half_lf	tắt máy lạnh rồi bật đèn pha sau đó mở nửa kính lái
recirc,defrost,windows_all	lấy gió ngoài tắt sấy kính, mở tất cả kính
sunroof,win_lr,ac_auto	mở nóc xe rồi mở kính sau trái, tắt máy nạnh
recirc,fan,ac_auto	chuyển gió ngoài rồi tăng gió, tắt máy lạnh
ac_auto,sunroof,trunk	tắt máy lạnh xong mở cửa sổ trời sau đó mở cốp
recirc,win_rf,drl	chuyển gió ngoài rồi hạ kính phụ, bật đèn ban ngày
temp,drl,defrost	chỉnh nhiệt độ 22 độ bật đèn ban ngày rồi bật sấy kính trước
sunroof,trunk,temp	mở nóc xe đóng cốp đặt nhiệt độ 24 độ
fan,temp,readl	giảm gió sau đó chỉnh nhiệt độ 22 độ rồi bật đèn đọc
sunroof,win_rr,win_lr	mở cửa sổ trời và mở kính sau phải mở kính sau trái
temp,headl,drl	đặt nhiệt độ 24 độ bật đèn pha xong bật đèn ban ngày
defrost_rear,headl,win_lr	bật sấy kính sau tắt đèn pha sau đó mở kính sau trái
win_lr,win_rr,recirc	mở kính sau trái sau đó mở kính sau phải sau đó lấy gió trong
ac_auto,readl,win_lr	bật điều hoà bật đèn trần và mở kính sau trái
pm25,temp,windows_all	tắt lọc bụi, chỉnh nhiệt độ 22 độ và đóng hết kính
headl,readl,defrost_rear	tắt đèn pha bật đèn đọc rồi bật sấy kính sau
ac_auto,pm25,defrost_rear	bật máy lạnh bật lọc bụi sau đó bật sấy kính sau
headl,win_rf,trunk	tắt đèn pha, hạ kiếng phải xong mở cốp sau
win_rr,pm25,sunroof	mở kính sau phải và tắt lọc bụi, đóng cửa sổ trời
windows_all,trunk,defrost_rear	đóng hết kính đóng cốp, bật sấy kính sau
win_rf,defrost,headl	hạ kính phụ xong tắt sấy kính tắt đèn pha
win_rf,readl,windows_all	hạ kính phụ rồi bật đèn trần rồi hạ hết kính
headl,trunk,win_rf	bật đèn pha, đóng cốp xong mở kính trước phải
win_rf,win_lf,win_half_lf	mở kính trước phải và mở kính bên lái mở nửa kính lái
headl,trunk,readl	tắt đèn pha, mở cốp sau tắt đèn đọc
recirc,trunk,fan	lấy gió ngoài sau đó mở cốp tăng gió
windows_all,temp,win_rr	đóng hết kính rồi đặt nhiệt độ 24 độ sau đó mở kính sau phải
pm25,win_lf,win_rf	bật lọc không khí, mở kính bên lái xong hạ kính phụ
win_half_lf,temp,headl	mở nửa kính lái đặt nhiệt độ 24 độ bật đèn pha
win_rf,drl,win_lf	hạ kính phụ bật đèn ban ngày mở kính trước trái
win_rr,win_lf,recirc	mở kính sau phải, hạ kiếng trái, lấy gió ngoài
headl,cam,ac_auto	tắt đèn pha xong bật camera 360 bật điều hoà
fan,drl,win_lf	giảm gió bật đèn ban ngày xong hạ kiếng trái
temp,ac_auto,readl	đặt nhiệt độ 24 độ xong bật điều hoà bật đèn đọc
win_rr,defrost_rear,pm25	mở kính sau phải, bật sấy kính sau xong bật lọc không khí
cam,headl,pm25	mở camera, bật đèn pha bật lọc bụi
ac_auto,pm25,readl	tắt điều hoà và bật lọc bụi bật đèn trần
sunroof,defrost_rear,readl	đóng cửa sổ trời sau đó bật sấy kính sau, tắt đèn đọc
win_lf,win_half_lf,cam	mở kính trước trái rồi mở nửa kính lái, bật camera 360
win_half_lf,win_lr,ac_auto	mở nửa kính lái mở kính sau trái tắt máy lạnh
ac_auto,trunk,windows_all	tắt máy lạnh mở cốp xong đóng hết kính
win_rf,win_lr,win_half_lf	mở kính trước phải sau đó mở kính sau trái sau đó mở nửa kính lái
drl,win_lr,sunroof	bật đèn ban ngày mở kính sau trái mở cửa sổ trời
win_rf,win_half_lf,win_lr	hạ kiếng phải mở nửa kính lái mở kính sau trái
win_rr,recirc,defrost	mở kính sau phải và lấy gió trong tắt sấy kính
trunk,pm25,defrost	mở cốp và bật lọc không khí sau đó tắt sấy kính
headl,fan,defrost	bật đèn pha rồi giảm gió, bật sấy kính
win_rr,trunk,fan	mở kính sau phải xong mở cốp sau sau đó tăng gió
win_lr,defrost,ac_auto	mở kính sau trái bật sấy kính và tắt máy nạnh
win_rf,win_lf,trunk	hạ kính phụ xong hạ kính lái sau đó đóng cốp
ac_auto,fan,trunk	tắt máy nạnh giảm gió và mở cốp sau
recirc,readl,fan	lấy gió ngoài rồi bật đèn đọc sau đó tăng gió
drl,win_rr,defrost_rear	bật đèn ban ngày rồi mở kính sau phải xong bật sấy kính sau
win_lr,cam,win_lf	mở kính sau trái và bật camera 360 rồi hạ kính trước trái
drl,headl,ac_auto	bật đèn ban ngày bật đèn pha, bật máy lạnh
win_rf,trunk,defrost_rear	hạ kiếng phải xong mở cốp, bật sấy kính sau
defrost_rear,ac_auto,temp	bật sấy kính sau bật điều hoà và đặt nhiệt độ 24 độ
temp,readl,headl	đặt nhiệt độ 24 độ sau đó tắt đèn đọc xong tắt đèn pha
windows_all,win_half_lf,readl	hạ hết kính, mở nửa kính lái và bật đèn trần
ac_auto,readl,defrost_rear	tắt điều hoà tắt đèn đọc xong bật sấy kính sau
win_rr,recirc,sunroof	mở kính sau phải xong lấy gió ngoài và đóng cửa sổ trời
cam,pm25,recirc	bật camera 360 và bật lọc không khí lấy gió ngoài
sunroof,temp,win_rf	mở cửa sổ trời xong chỉnh nhiệt độ 22 độ hạ kính phụ
headl,defrost,temp	bật đèn pha, bật sấy kính xong chỉnh nhiệt độ 22 độ
sunroof,win_lf,readl	đóng cửa sổ trời xong mở kính bên lái xong bật đèn trần
cam,readl,drl	bật camera 360 rồi bật đèn trần rồi bật đèn ban ngày
defrost_rear,pm25,win_rr	bật sấy kính sau xong bật lọc bụi xong mở kính sau phải
ac_auto,pm25,cam	bật máy lạnh, tắt lọc bụi sau đó bật camera 360
cam,headl,ac_auto	mở camera sau đó bật đèn pha rồi bật máy lạnh
win_rr,win_rf,pm25	mở kính sau phải sau đó mở kính trước phải bật lọc không khí
headl,trunk,win_rr	tắt đèn pha xong mở cốp sau rồi mở kính sau phải
headl,win_lf,trunk	tắt đèn pha rồi hạ kiếng trái mở cốp sau
ac_auto,sunroof,headl	tắt máy lạnh xong mở nóc xe tắt đèn pha
pm25,win_half_lf,sunroof	tắt lọc bụi mở nửa kính lái rồi mở cửa sổ trời
cam,trunk,pm25	bật camera 360 xong mở cốp rồi tắt lọc bụi
headl,readl,sunroof	tắt đèn pha bật đèn đọc sau đó mở cửa sổ trời
win_lr,recirc,fan	mở kính sau trái xong lấy gió ngoài xong giảm gió
cam,temp,defrost	bật camera 360 sau đó chỉnh nhiệt độ 22 độ sau đó tắt sấy kính
readl,pm25,sunroof	bật đèn trần xong tắt lọc bụi đóng cửa sổ trời
fan,win_lf,pm25	giảm gió và mở kính trước trái và bật lọc không khí
fan,win_half_lf,cam	tăng gió và mở nửa kính lái sau đó bật camera 360
sunroof,win_rf,win_lr	mở nóc xe, hạ kính phụ sau đó mở kính sau trái
trunk,win_lf,drl	mở cốp và hạ kính lái, bật đèn ban ngày
win_rr,windows_all,readl	mở kính sau phải sau đó mở tất cả kính tắt đèn đọc
recirc,sunroof,ac_auto	chuyển gió ngoài sau đó mở nóc xe tắt máy nạnh
drl,defrost,recirc	bật đèn ban ngày, bật sấy kính trước lấy gió ngoài
temp,win_rr,drl	chỉnh nhiệt độ 22 độ sau đó mở kính sau phải bật đèn ban ngày
fan,win_half_lf,win_rf	giảm gió xong mở nửa kính lái rồi mở kính trước phải
readl,fan,ac_auto	bật đèn trần sau đó tăng gió và tắt điều hoà
temp,fan,defrost	chỉnh nhiệt độ 22 độ rồi giảm gió xong tắt sấy kính
win_lr,ac_auto,trunk	mở kính sau trái tắt máy lạnh xong mở cốp sau
defrost_rear,win_rr,headl	bật sấy kính sau mở kính sau phải bật đèn pha
cam,windows_all,defrost_rear	bật camera 360 và hạ hết kính rồi bật sấy kính sau
headl,drl,recirc	tắt đèn pha rồi bật đèn ban ngày và lấy gió trong
drl,win_rf,defrost	bật đèn ban ngày rồi hạ kính phụ và tắt sấy kính
headl,pm25,win_half_lf	tắt đèn pha sau đó bật lọc bụi mở nửa kính lái
defrost_rear,recirc,win_half_lf	bật sấy kính sau sau đó lấy gió ngoài mở nửa kính lái
sunroof,drl,win_half_lf	mở nóc xe và bật đèn ban ngày mở nửa kính lái
win_lf,win_rf,recirc	hạ kiếng trái hạ kiếng phải sau đó chuyển gió ngoài
headl,drl,sunroof	bật đèn pha bật đèn ban ngày xong mở cửa sổ trời
temp,ac_auto,win_rr	đặt nhiệt độ 24 độ sau đó tắt máy lạnh mở kính sau phải
win_lf,trunk,windows_all	hạ kính trước trái và mở cốp sau sau đó hạ hết kính
defrost,ac_auto,cam	bật sấy kính rồi bật điều hoà, bật camera 360
win_half_lf,win_rf,fan	mở nửa kính lái, mở kính trước phải xong giảm gió
sunroof,temp,win_lr	mở cửa sổ trời rồi chỉnh nhiệt độ 22 độ sau đó mở kính sau trái
cam,drl,win_rr	bật camera 360 bật đèn ban ngày xong mở kính sau phải
win_lf,cam,win_half_lf	hạ kính lái bật camera 360 sau đó mở nửa kính lái
win_rr,windows_all,fan	mở kính sau phải rồi mở tất cả kính xong tăng gió
ac_auto,win_rf,trunk	tắt điều hoà và hạ kiếng phải xong mở cốp
drl,fan,temp	bật đèn ban ngày tăng gió đặt nhiệt độ 24 độ
win_lf,win_lr,sunroof	hạ kính trước trái, mở kính sau trái mở nóc xe
fan,win_rf,defrost_rear	giảm gió rồi hạ kiếng phải xong bật sấy kính sau
ac_auto,windows_all,win_rr	bật điều hoà xong hạ hết kính sau đó mở kính sau phải
cam,fan,sunroof	mở camera và giảm gió và mở nóc xe
pm25,win_rf,defrost_rear	bật lọc không khí sau đó hạ kiếng phải bật sấy kính sau
defrost,cam,readl	tắt sấy kính rồi mở camera, bật đèn trần
readl,temp,defrost	bật đèn trần và đặt nhiệt độ 24 độ và tắt sấy kính
cam,ac_auto,win_rf	mở camera tắt điều hoà và hạ kiếng phải
drl,fan,trunk	bật đèn ban ngày giảm gió sau đó đóng cốp
readl,defrost,win_rf	bật đèn trần xong tắt sấy kính hạ kính phụ
pm25,win_lf,sunroof	tắt lọc bụi, mở kính bên lái sau đó mở cửa sổ trời
trunk,win_lr,readl	đóng cốp và mở kính sau trái rồi bật đèn trần
headl,recirc,drl	bật đèn pha lấy gió ngoài sau đó bật đèn ban ngày
